"","Date","Ticker","Name","Sector"
"1",1969-04-01,"MMM","3M","Industrials"
"2",1969-04-01,"ABT","Abbott","Health Care"
"3",1969-04-01,"ADM","ADM","Consumer Staples"
"4",1969-04-01,"ADBE","Adobe Inc.","Information Technology"
"5",1969-04-01,"ADP","ADP","Information Technology"
"6",1969-04-01,"AES","AES Corporation","Utilities"
"7",1969-04-01,"AFL","Aflac","Financials"
"8",1969-04-01,"A","Agilent Technologies","Health Care"
"9",1969-04-01,"APD","Air Products and Chemicals","Materials"
"10",1969-04-01,"AKAM","Akamai","Information Technology"
"11",1969-04-01,"ALL","Allstate","Financials"
"12",1969-04-01,"GOOG","Alphabet Inc. (Class C)","Communication Services"
"13",1969-04-01,"MO","Altria","Consumer Staples"
"14",1969-04-01,"AEE","Ameren","Utilities"
"15",1969-04-01,"AEP","American Electric Power","Utilities"
"16",1969-04-01,"AXP","American Express","Financials"
"17",1969-04-01,"AIG","American International Group","Financials"
"18",1969-04-01,"AMT","American Tower","Real Estate"
"19",1969-04-01,"AMP","Ameriprise Financial","Financials"
"20",1969-04-01,"ABC","AmerisourceBergen","Health Care"
"21",1969-04-01,"AMGN","Amgen","Health Care"
"22",1969-04-01,"APH","Amphenol","Information Technology"
"23",1969-04-01,"ADI","Analog Devices","Information Technology"
"24",1969-04-01,"AON","Aon","Financials"
"25",1969-04-01,"APA","APA Corporation","Energy"
"26",1969-04-01,"AAPL","Apple Inc.","Information Technology"
"27",1969-04-01,"AMAT","Applied Materials","Information Technology"
"28",1969-04-01,"APTV","Aptiv","Consumer Discretionary"
"29",1969-04-01,"AIZ","Assurant","Financials"
"30",1969-04-01,"T","AT&T","Communication Services"
"31",1969-04-01,"ADSK","Autodesk","Information Technology"
"32",1969-04-01,"AZO","AutoZone","Consumer Discretionary"
"33",1969-04-01,"AVY","Avery Dennison","Materials"
"34",1969-04-01,"BKR","Baker Hughes","Energy"
"35",1969-04-01,"BALL","Ball Corporation","Materials"
"36",1969-04-01,"BAC","Bank of America","Financials"
"37",1969-04-01,"BBWI","Bath & Body Works, Inc.","Consumer Discretionary"
"38",1969-04-01,"BAX","Baxter International","Health Care"
"39",1969-04-01,"BDX","Becton Dickinson","Health Care"
"40",1969-04-01,"BRK.B","Berkshire Hathaway","Financials"
"41",1969-04-01,"BBY","Best Buy","Consumer Discretionary"
"42",1969-04-01,"BIIB","Biogen","Health Care"
"43",1969-04-01,"BK","BNY Mellon","Financials"
"44",1969-04-01,"BA","Boeing","Industrials"
"45",1969-04-01,"BKNG","Booking Holdings","Consumer Discretionary"
"46",1969-04-01,"BXP","Boston Properties","Real Estate"
"47",1969-04-01,"BSX","Boston Scientific","Health Care"
"48",1969-04-01,"BMY","Bristol Myers Squibb","Health Care"
"49",1969-04-01,"BF.B","Brown–Forman","Consumer Staples"
"50",1969-04-01,"CHRW","C.H. Robinson","Industrials"
"51",1969-04-01,"CPB","Campbell Soup Company","Consumer Staples"
"52",1969-04-01,"COF","Capital One","Financials"
"53",1969-04-01,"CAH","Cardinal Health","Health Care"
"54",1969-04-01,"CCL","Carnival","Consumer Discretionary"
"55",1969-04-01,"CAT","Caterpillar Inc.","Industrials"
"56",1969-04-01,"CBRE","CBRE Group","Real Estate"
"57",1969-04-01,"CNP","CenterPoint Energy","Utilities"
"58",1969-04-01,"CF","CF Industries","Materials"
"59",1969-04-01,"SCHW","Charles Schwab Corporation","Financials"
"60",1969-04-01,"CVX","Chevron Corporation","Energy"
"61",1969-04-01,"CI","Cigna","Health Care"
"62",1969-04-01,"CINF","Cincinnati Financial","Financials"
"63",1969-04-01,"CTAS","Cintas","Industrials"
"64",1969-04-01,"CSCO","Cisco","Information Technology"
"65",1969-04-01,"C","Citigroup","Financials"
"66",1969-04-01,"CTXS","Citrix","Information Technology"
"67",1969-04-01,"CLX","Clorox","Consumer Staples"
"68",1969-04-01,"CME","CME Group","Financials"
"69",1969-04-01,"CMS","CMS Energy","Utilities"
"70",1969-04-01,"KO","The Coca-Cola Company","Consumer Staples"
"71",1969-04-01,"CTSH","Cognizant","Information Technology"
"72",1969-04-01,"CL","Colgate-Palmolive","Consumer Staples"
"73",1969-04-01,"CMCSA","Comcast","Communication Services"
"74",1969-04-01,"CMA","Comerica","Financials"
"75",1969-04-01,"CAG","Conagra Brands","Consumer Staples"
"76",1969-04-01,"COP","ConocoPhillips","Energy"
"77",1969-04-01,"ED","Consolidated Edison","Utilities"
"78",1969-04-01,"GLW","Corning Inc.","Information Technology"
"79",1969-04-01,"COST","Costco","Consumer Staples"
"80",1969-04-01,"CTRA","Coterra","Energy"
