"","symbol","avg_return","Volatility"
"1","F",0.0413,0.373140120672327
"2","NFLX",0.0384,0.141681465003623
"3","VRTX",0.0316,0.163438437676757
"4","FFIV",0.0272,0.167791552949031
"5","ROST",0.0262,0.0967271215621695
"6","ILMN",0.0238,0.124535995040388
"7","DLTR",0.0238,0.09222528415711
"8","AZO",0.0223,0.095944934146608
"9","SIG",0.021,0.2358693185389
"10","SWKS",0.021,0.177414572193305
"11","EW",0.0195,0.0776253011158231
"12","JBHT",0.0151,0.107315491363202
"13","WDC",0.0147,0.193481710904625
"14","V",0.0145,0.128805683709817
"15","QCOM",0.0141,0.105512797798707
"16","SJM",0.0133,0.112577651932561
"17","AAP",0.0124,0.0903275742222826
"18","ORLY",0.0122,0.0985330633282487
"19","FL",0.0118,0.17369227744033
"20","DHI",0.0115,0.21637514158468
"21","CERN",0.0115,0.123894465244159
"22","PHM",0.0105,0.191512325655502
"23","TJX",0.0102,0.0934316750476376
"24","WFC",0.0096,0.203467085063115
"25","RRC",0.0096,0.122504172348415
"26","MAC",0.0094,0.486774565052453
"27","ATVI",0.0085,0.124817309648579
"28","DRI",0.0079,0.180214752515651
"29","CHRW",0.0077,0.0974064760363808
"30","HP",0.0073,0.163988447669201
"31","ORCL",0.007,0.0883531152098996
"32","BLK",0.0065,0.160436136425278
"33","TSCO",0.0063,0.113347561696326
"34","TSN",0.0059,0.154772152642032
"35","AOS",0.0059,0.112270257977583
"36","CF",0.0058,0.185403599987566
"37","UHS",0.0058,0.120240647376323
"38","RHI",0.0056,0.128891478398231
"39","ESRX",0.0052,0.123450818938297
"40","DLR",0.0052,0.111135201393589
"41","BLL",0.0046,0.0968461513177726
"42","IBM",0.0044,0.07571415171901
"43","WMT",0.0043,0.0577597175824969
"44","AMZN",0.0041,0.132965284689987
"45","OXY",0.0041,0.109440444295583
"46","IT",0.004,0.164931897300725
"47","DGX",0.004,0.0658093009401066
"48","PRGO",0.0039,0.128685928320096
"49","GILD",0.0038,0.0681173282322046
"50","INTU",0.0035,0.10478379869387
"51","GWW",0.0029,0.0913362630961961
"52","NEM",0.0024,0.145606409595568
"53","AMGN",0.0023,0.0991918147991353
"54","FLS",0.0022,0.166538183385549
"55","VTR",0.0021,0.189212095463692
"56","AJG",0.0017,0.120806998095866
"57","ACN",0.0017,0.0644478832588794
"58","HAS",0.0016,0.103052413404765
"59","MCD",0.0016,0.0564033510345359
"60","PWR",0.0015,0.144072561517044
"61","AWK",0.0015,0.0854494177859028
"62","CNC",0.0011,0.160176248126817
"63","CHD",0.001,0.0577271628123029
"64","REGN",9e-04,0.175207536614442
"65","SEE",7e-04,0.154541194302301
"66","ALGN",5e-04,0.217333400947352
"67","PSA",5e-04,0.1121569329588
"68","RMD",5e-04,0.1097252639133
"69","YUM",5e-04,0.0951732439609986
"70","AAPL",4e-04,0.154587885781231
"71","EOG",4e-04,0.151967680657619
"72","MAT",4e-04,0.131508843986978
"73","MOS",3e-04,0.214973508595395
"74","HSY",2e-04,0.0683142211396461
"75","FMC",0,0.112754339094411
