"","Date","Ticker","Name","Sector"
"1",1971-01-01,"MMM","3M","Industrials"
"2",1971-01-01,"ABT","Abbott","Health Care"
"3",1971-01-01,"ADM","ADM","Consumer Staples"
"4",1971-01-01,"ADBE","Adobe Inc.","Information Technology"
"5",1971-01-01,"ADP","ADP","Information Technology"
"6",1971-01-01,"AES","AES Corporation","Utilities"
"7",1971-01-01,"AFL","Aflac","Financials"
"8",1971-01-01,"A","Agilent Technologies","Health Care"
"9",1971-01-01,"APD","Air Products and Chemicals","Materials"
"10",1971-01-01,"AKAM","Akamai","Information Technology"
"11",1971-01-01,"ALL","Allstate","Financials"
"12",1971-01-01,"GOOG","Alphabet Inc. (Class C)","Communication Services"
"13",1971-01-01,"MO","Altria","Consumer Staples"
"14",1971-01-01,"AEE","Ameren","Utilities"
"15",1971-01-01,"AEP","American Electric Power","Utilities"
"16",1971-01-01,"AXP","American Express","Financials"
"17",1971-01-01,"AIG","American International Group","Financials"
"18",1971-01-01,"AMT","American Tower","Real Estate"
"19",1971-01-01,"AMP","Ameriprise Financial","Financials"
"20",1971-01-01,"ABC","AmerisourceBergen","Health Care"
"21",1971-01-01,"AMGN","Amgen","Health Care"
"22",1971-01-01,"APH","Amphenol","Information Technology"
"23",1971-01-01,"ADI","Analog Devices","Information Technology"
"24",1971-01-01,"AON","Aon","Financials"
"25",1971-01-01,"APA","APA Corporation","Energy"
"26",1971-01-01,"AAPL","Apple Inc.","Information Technology"
"27",1971-01-01,"AMAT","Applied Materials","Information Technology"
"28",1971-01-01,"APTV","Aptiv","Consumer Discretionary"
"29",1971-01-01,"AIZ","Assurant","Financials"
"30",1971-01-01,"T","AT&T","Communication Services"
"31",1971-01-01,"ADSK","Autodesk","Information Technology"
"32",1971-01-01,"AZO","AutoZone","Consumer Discretionary"
"33",1971-01-01,"AVY","Avery Dennison","Materials"
"34",1971-01-01,"BKR","Baker Hughes","Energy"
"35",1971-01-01,"BALL","Ball Corporation","Materials"
"36",1971-01-01,"BAC","Bank of America","Financials"
"37",1971-01-01,"BBWI","Bath & Body Works, Inc.","Consumer Discretionary"
"38",1971-01-01,"BAX","Baxter International","Health Care"
"39",1971-01-01,"BDX","Becton Dickinson","Health Care"
"40",1971-01-01,"BRK.B","Berkshire Hathaway","Financials"
"41",1971-01-01,"BBY","Best Buy","Consumer Discretionary"
"42",1971-01-01,"BIIB","Biogen","Health Care"
"43",1971-01-01,"BK","BNY Mellon","Financials"
"44",1971-01-01,"BA","Boeing","Industrials"
"45",1971-01-01,"BKNG","Booking Holdings","Consumer Discretionary"
"46",1971-01-01,"BXP","Boston Properties","Real Estate"
"47",1971-01-01,"BSX","Boston Scientific","Health Care"
"48",1971-01-01,"BMY","Bristol Myers Squibb","Health Care"
"49",1971-01-01,"BF.B","Brown–Forman","Consumer Staples"
"50",1971-01-01,"CHRW","C.H. Robinson","Industrials"
"51",1971-01-01,"CPB","Campbell Soup Company","Consumer Staples"
"52",1971-01-01,"COF","Capital One","Financials"
"53",1971-01-01,"CAH","Cardinal Health","Health Care"
"54",1971-01-01,"CCL","Carnival","Consumer Discretionary"
"55",1971-01-01,"CAT","Caterpillar Inc.","Industrials"
"56",1971-01-01,"CBRE","CBRE Group","Real Estate"
"57",1971-01-01,"CNP","CenterPoint Energy","Utilities"
"58",1971-01-01,"CF","CF Industries","Materials"
"59",1971-01-01,"SCHW","Charles Schwab Corporation","Financials"
"60",1971-01-01,"CVX","Chevron Corporation","Energy"
"61",1971-01-01,"CI","Cigna","Health Care"
"62",1971-01-01,"CINF","Cincinnati Financial","Financials"
"63",1971-01-01,"CTAS","Cintas","Industrials"
"64",1971-01-01,"CSCO","Cisco","Information Technology"
"65",1971-01-01,"C","Citigroup","Financials"
"66",1971-01-01,"CTXS","Citrix","Information Technology"
"67",1971-01-01,"CLX","Clorox","Consumer Staples"
"68",1971-01-01,"CME","CME Group","Financials"
"69",1971-01-01,"CMS","CMS Energy","Utilities"
"70",1971-01-01,"KO","The Coca-Cola Company","Consumer Staples"
"71",1971-01-01,"CTSH","Cognizant","Information Technology"
"72",1971-01-01,"CL","Colgate-Palmolive","Consumer Staples"
"73",1971-01-01,"CMCSA","Comcast","Communication Services"
"74",1971-01-01,"CMA","Comerica","Financials"
"75",1971-01-01,"CAG","Conagra Brands","Consumer Staples"
"76",1971-01-01,"COP","ConocoPhillips","Energy"
"77",1971-01-01,"ED","Consolidated Edison","Utilities"
"78",1971-01-01,"GLW","Corning Inc.","Information Technology"
"79",1971-01-01,"COST","Costco","Consumer Staples"
"80",1971-01-01,"CTRA","Coterra","Energy"
"81",1971-01-01,"CSX","CSX","Industrials"
"82",1971-01-01,"CMI","Cummins","Industrials"
"83",1971-01-01,"CVS","CVS Health","Health Care"
"84",1971-01-01,"DHI","D.R. Horton","Consumer Discretionary"
"85",1971-01-01,"DHR","Danaher Corporation","Health Care"
"86",1971-01-01,"DRI","Darden Restaurants","Consumer Discretionary"
"87",1971-01-01,"DVA","DaVita Inc.","Health Care"
"88",1971-01-01,"DE","John Deere","Industrials"
"89",1971-01-01,"XRAY","Dentsply Sirona","Health Care"
"90",1971-01-01,"DVN","Devon Energy","Energy"
"91",1971-01-01,"DIS","Disney","Communication Services"
"92",1971-01-01,"D","Dominion Energy","Utilities"
"93",1971-01-01,"DOV","Dover Corporation","Industrials"
"94",1971-01-01,"DTE","DTE Energy","Utilities"
"95",1971-01-01,"DUK","Duke Energy","Utilities"
"96",1971-01-01,"EMN","Eastman Chemical Company","Materials"
"97",1971-01-01,"ETN","Eaton Corporation","Industrials"
"98",1971-01-01,"EBAY","eBay","Consumer Discretionary"
"99",1971-01-01,"ECL","Ecolab","Materials"
"100",1971-01-01,"EIX","Edison International","Utilities"
"101",1971-01-01,"EA","Electronic Arts","Communication Services"
"102",1971-01-01,"ELV","Elevance Health","Health Care"
"103",1971-01-01,"LLY","Eli Lilly and Company","Health Care"
"104",1971-01-01,"EMR","Emerson Electric","Industrials"
"105",1971-01-01,"ETR","Entergy","Utilities"
"106",1971-01-01,"EOG","EOG Resources","Energy"
