Symbol,Sector
A,Industrials
AA,Industrials
AAC,Finance
AACG,Consumer Discretionary
AACI,Finance
AACIW,Industrials
AADI,Health Care
AAIC,Real Estate
AAIC^B,
AAIC^C,
AAIN,
AAL,Consumer Discretionary
AAM^A,
AAM^B,
AAMC,Finance
AAME,Finance
AAN,Consumer Discretionary
AAOI,Technology
AAON,Industrials
AAP,Consumer Discretionary
AAPL,Technology
AAQC,Industrials
AAT,Real Estate
AATC,Industrials
AAU,
AAWW,Consumer Discretionary
AB,Finance
ABB,Energy
ABBV,Health Care
ABC,Health Care
ABCB,Finance
ABCL,
ABCM,Health Care
ABEO,Health Care
ABEV,Consumer Staples
ABG,Consumer Discretionary
ABGI,Finance
ABIO,Health Care
ABM,Consumer Discretionary
ABMD,Health Care
ABNB,Consumer Discretionary
ABOS,Health Care
ABR,Real Estate
ABR^D,
ABR^E,
ABR^F,
ABSI,Health Care
ABST,
ABT,Health Care
ABTX,Finance
ABUS,
ABVC,Health Care
AC,Finance
ACA,Industrials
ACAB,Industrials
ACABW,Industrials
ACACU,Industrials
ACAD,Health Care
ACAH,Industrials
ACAHU,Industrials
ACAHW,Industrials
ACAX,Industrials
ACAXR,Industrials
ACAXW,Industrials
ACB,
ACBA,Consumer Discretionary
ACBAU,Finance
ACBAW,Consumer Discretionary
ACC,Real Estate
ACCD,Technology
ACCO,Consumer Discretionary
ACEL,Consumer Discretionary
ACER,Health Care
ACET,Health Care
ACEV,Technology
ACEVU,Technology
ACEVW,Technology
ACGL,Finance
ACGLN,Finance
ACGLO,Finance
ACH,Industrials
ACHC,Health Care
ACHL,Health Care
ACHR,Industrials
ACHV,Health Care
ACI,Consumer Staples
ACII,Industrials
ACIU,Health Care
ACIW,Technology
ACKIT,Industrials
ACKIU,Industrials
ACKIW,Industrials
ACLS,Technology
ACLX,Health Care
ACM,Consumer Discretionary
ACMR,Technology
ACN,Technology
ACNB,Finance
ACON,Technology
ACONW,Technology
ACOR,Health Care
ACP,Finance
ACP^A,
ACQR,Finance
ACQRU,Finance
ACQRW,Finance
ACR,Real Estate
ACR^C,
ACR^D,
ACRE,Real Estate
ACRO,Industrials
ACRS,Health Care
ACRX,Consumer Discretionary
ACST,
ACT,Finance
ACTD,
ACTDU,
ACTDW,Finance
ACTG,Miscellaneous
ACU,Consumer Discretionary
ACV,Finance
ACVA,Technology
ACXP,Health Care
ADAG,Health Care
ADAL,
ADALU,
ADALW,
ADAP,Health Care
ADBE,Technology
ADC,Real Estate
ADC^A,
ADCT,Health Care
ADER,Industrials
ADERU,Industrials
ADERW,Industrials
ADES,Industrials
ADEX,Industrials
ADGI,Health Care
ADI,Technology
ADIL,Health Care
ADILW,Health Care
ADM,Consumer Staples
ADMA,Health Care
ADMP,Health Care
ADN,Utilities
ADNT,Consumer Discretionary
ADNWW,Utilities
ADOC,Finance
ADOCR,Finance
ADOCW,Finance
ADP,Consumer Discretionary
ADPT,Health Care
ADRA,Industrials
ADRT,Industrials
ADSE,
ADSEW,
ADSK,Technology
ADT,Consumer Discretionary
ADTH,Consumer Discretionary
ADTHW,Consumer Discretionary
ADTN,Telecommunications
ADTX,Consumer Discretionary
ADUS,Health Care
ADV,Consumer Discretionary
ADVM,Health Care
ADVWW,Consumer Discretionary
ADX,Finance
ADXN,Health Care
AE,Energy
AEAC,Finance
AEACU,Finance
AEACW,Finance
AEAE,Industrials
AEAEW,Industrials
AEE,Utilities
AEF,Finance
AEFC,
AEG,Finance
AEHA,Industrials
AEHAW,Industrials
AEHL,Consumer Discretionary
AEHR,Industrials
AEI,Real Estate
AEIS,Consumer Discretionary
AEL,Finance
AEL^A,
AEL^B,
AEM,
AEMD,Miscellaneous
AENZ,Industrials
AEO,Consumer Discretionary
AEP,Utilities
AEPPZ,Utilities
AER,Consumer Discretionary
AERC,Utilities
AERI,Health Care
AES,Utilities
AESC,Utilities
AESE,Telecommunications
AEVA,Consumer Discretionary
AEY,Consumer Discretionary
AEYE,Technology
AEZS,
AFAQ,Industrials
AFAR,
AFARW,
AFB,Finance
AFBI,Finance
AFCG,Real Estate
AFG,Finance
AFGB,Finance
AFGC,Finance
AFGD,Finance
AFGE,
AFIB,Health Care
AFL,Finance
AFMD,Health Care
AFRI,Consumer Staples
AFRIW,Consumer Staples
AFRM,Technology
AFT,Finance
AFTR,
AFYA,Real Estate
AG,
AGAC,Finance
AGBA,Finance
AGBAR,Finance
AGBAW,Finance
AGCB,Finance
AGCO,Industrials
AGD,Finance
AGE,Health Care
AGEN,Health Care
AGFS,
AGFY,Consumer Discretionary
AGGR,Finance
AGGRU,Finance
AGGRW,Finance
AGI,
AGIL,Technology
AGILW,Technology
AGIO,Health Care
AGL,Health Care
AGLE,Health Care
AGM,Finance
AGM^C,
AGM^D,
AGM^E,
AGM^F,
AGM^G,
AGMH,Technology
AGNC,Real Estate
AGNCM,Real Estate
AGNCN,Real Estate
AGNCO,Real Estate
AGNCP,Real Estate
AGO,Finance
AGR,Utilities
AGRI,
AGRIW,
AGRO,Consumer Staples
AGRX,Health Care
AGS,Consumer Discretionary
AGTC,Health Care
AGTI,Health Care
AGX,Industrials
AGYS,Technology
AHCO,Health Care
AHG,Finance
AHH,Real Estate
AHH^A,
AHI,
AHL^C,
AHL^D,
AHL^E,
AHPA,
AHPAU,
AHPAW,
AHPI,Health Care
AHRN,
AHRNU,
AHRNW,
AHT,Real Estate
AHT^D,
AHT^F,
AHT^G,
AHT^H,
AHT^I,
AI,Technology
AIB,
AIBBR,
AIBBU,
AIC,Real Estate
AIF,Finance
AIG,Finance
AIG^A,
AIH,Health Care
AIHS,Finance
AIKI,Consumer Discretionary
AIM,Health Care
AIMAU,
AIMAW,
AIMBU,
AIMC,Industrials
AIN,Consumer Discretionary
AINC,Finance
AINV,Finance
AIO,Finance
AIP,Technology
AIR,Industrials
AIRC,Real Estate
AIRG,Technology
AIRI,Industrials
AIRS,Health Care
AIRT,Consumer Discretionary
AIRTP,Consumer Discretionary
AIT,Industrials
AIU,Consumer Discretionary
AIV,Real Estate
AIZ,Finance
AIZN,Finance
AJG,Finance
AJRD,Industrials
AJX,Real Estate
AJXA,Real Estate
AKA,Consumer Discretionary
AKAM,Consumer Discretionary
AKAN,
AKBA,Health Care
AKIC,Finance
AKICU,Finance
AKICW,Finance
AKO/A,
AKO/B,
AKR,Real Estate
AKRO,Health Care
AKTS,Utilities
AKTX,Health Care
AKU,
AKUS,Consumer Discretionary
AKYA,Industrials
AL,Consumer Discretionary
AL^A,
ALB,Industrials
ALBO,Health Care
ALC,Health Care
ALCC,Industrials
ALCO,
ALDX,Health Care
ALE,Utilities
ALEC,Health Care
ALEX,Real Estate
ALF,Technology
ALFIW,Technology
ALG,Industrials
ALGM,Technology
ALGN,Health Care
ALGS,Health Care
ALGT,Consumer Discretionary
ALHC,Health Care
ALIM,Health Care
ALIN^A,
ALIN^B,
ALIN^E,
ALIT,Technology
ALJJ,Consumer Discretionary
ALK,Consumer Discretionary
ALKS,Health Care
ALKT,Technology
ALL,Finance
ALL^B,
ALL^G,
ALL^H,
ALL^I,
ALLE,Consumer Discretionary
ALLG,
ALLK,Health Care
ALLO,Health Care
ALLR,Health Care
ALLT,Telecommunications
ALLY,Finance
ALNA,Health Care
ALNY,Health Care
ALOR,
ALORW,
ALOT,Technology
ALP^Q,
ALPN,Health Care
ALPP,Industrials
ALR,Health Care
ALRM,Technology
ALRN,Health Care
ALRS,Finance
ALSA,
ALSAR,
ALSAU,
ALSAW,
ALSN,Consumer Discretionary
ALT,Health Care
ALTG,Consumer Discretionary
ALTG^A,
ALTO,Industrials
ALTR,Technology
ALTU,Industrials
ALTUU,Industrials
ALTUW,Industrials
ALV,Consumer Discretionary
ALVO,Health Care
ALVOW,Health Care
ALVR,Health Care
ALX,Real Estate
ALXO,Health Care
ALYA,
ALZN,Consumer Discretionary
AM,Utilities
AMAL,Finance
AMAM,
AMAO,Industrials
AMAOW,Industrials
AMAT,Technology
AMBA,Technology
AMBC,Finance
AMBO,Consumer Discretionary
AMBP,
AMC,Consumer Discretionary
AMCI,Industrials
AMCIW,Industrials
AMCR,Industrials
AMCX,Consumer Discretionary
AMD,Technology
AME,Consumer Discretionary
AMED,Health Care
AMEH,Health Care
AMG,Finance
AMGN,Health Care
AMH,Real Estate
AMH^G,
AMH^H,
AMK,Finance
AMKR,Technology
AMLX,Health Care
AMN,Health Care
AMNB,Finance
AMOT,Industrials
AMOV,Telecommunications
AMP,Finance
AMPE,Health Care
AMPG,Technology
AMPGW,Technology
AMPH,Health Care
AMPI,Industrials
AMPL,Technology
AMPS,Utilities
AMPY,Energy
AMR,Energy
AMRC,Industrials
AMRK,Finance
AMRN,Health Care
AMRS,Industrials
AMRX,Health Care
AMS,Health Care
AMSC,Industrials
AMSF,Finance
AMST,Technology
AMSWA,Technology
AMT,Finance
AMTB,Finance
AMTD,Finance
AMTI,Consumer Discretionary
AMTX,Energy
AMWD,Consumer Discretionary
AMWL,Technology
AMX,Telecommunications
AMYT,Health Care
AMZN,Consumer Discretionary
AN,Consumer Discretionary
ANAB,Health Care
ANAC,Health Care
ANDE,Consumer Staples
ANEB,Health Care
ANET,Technology
ANF,Consumer Discretionary
ANGH,Consumer Discretionary
ANGHW,Consumer Discretionary
ANGI,Technology
ANGN,Health Care
ANGO,Health Care
ANIK,Health Care
ANIP,Health Care
ANIX,Health Care
ANNX,Health Care
ANPC,Health Care
ANSS,Technology
ANTE,Consumer Discretionary
ANTX,Health Care
ANVS,Consumer Discretionary
ANY,
ANZU,Industrials
ANZUU,Industrials
ANZUW,Industrials
AOD,Finance
AOGO,Industrials
AOGOW,Industrials
AOMR,Real Estate
AON,Finance
AORT,Health Care
AOS,Industrials
AOSL,Technology
AOUT,
AP,Industrials
APA,Energy
APAC,
APACU,
APACW,
APAM,Finance
APCA,
APCX,Technology
APCXW,Technology
APD,Industrials
APDN,Health Care
APEI,Consumer Discretionary
APEN,Health Care
APG,Consumer Discretionary
APGB,Finance
APH,Technology
API,Technology
APLD,Finance
APLE,Real Estate
APLS,Health Care
APLT,Health Care
APM,Health Care
APMIW,Industrials
APO,Finance
APOG,
APP,Technology
APPF,Technology
APPH,Consumer Staples
APPHW,Consumer Staples
APPN,Technology
APPS,Technology
APRE,Health Care
APRN,Consumer Discretionary
APT,
APTM,
APTMW,
APTO,
APTV,Consumer Discretionary
APTV^A,
APTX,Health Care
APVO,Health Care
APWC,Industrials
APXI,
APXIW,
APYX,Health Care
AQB,
AQMS,Utilities
AQN,Utilities
AQNA,Utilities
AQNB,Utilities
AQNU,Utilities
AQST,Health Care
AQUA,Industrials
AR,Energy
ARAV,Health Care
