"","FEDFUNDS","GDP","UNRATE","PAYEMS","ICSA","CPIAUCSL","USREC"
"1970-01-01",8.98,1051.2,3.9,71176,NA,37.9,1
"1970-01-03",8.98,1051.2,3.9,71176,230000,37.9,1
"1970-01-10",8.98,1051.2,3.9,71176,242000,37.9,1
"1970-01-17",8.98,1051.2,3.9,71176,268000,37.9,1
"1970-01-24",8.98,1051.2,3.9,71176,256000,37.9,1
"1970-01-31",8.98,1051.2,3.9,71176,239000,37.9,1
"1970-02-01",8.98,1051.2,4.2,71305,239000,38.1,1
"1970-02-07",8.98,1051.2,4.2,71305,256000,38.1,1
"1970-02-14",8.98,1051.2,4.2,71305,265000,38.1,1
"1970-02-21",8.98,1051.2,4.2,71305,271000,38.1,1
"1970-02-28",8.98,1051.2,4.2,71305,242000,38.1,1
"1970-03-01",7.76,1051.2,4.4,71451,242000,38.3,1
"1970-03-07",7.76,1051.2,4.4,71451,262000,38.3,1
"1970-03-14",7.76,1051.2,4.4,71451,271000,38.3,1
"1970-03-21",7.76,1051.2,4.4,71451,264000,38.3,1
"1970-03-28",7.76,1051.2,4.4,71451,276000,38.3,1
"1970-04-01",8.1,1067.375,4.6,71348,276000,38.5,1
"1970-04-04",8.1,1067.375,4.6,71348,273000,38.5,1
"1970-04-11",8.1,1067.375,4.6,71348,305000,38.5,1
"1970-04-18",8.1,1067.375,4.6,71348,374000,38.5,1
"1970-04-25",8.1,1067.375,4.6,71348,349000,38.5,1
"1970-05-01",7.95,1067.375,4.8,71124,349000,38.6,1
"1970-05-02",7.95,1067.375,4.8,71124,334000,38.6,1
"1970-05-09",7.95,1067.375,4.8,71124,318000,38.6,1
"1970-05-16",7.95,1067.375,4.8,71124,303000,38.6,1
"1970-05-23",7.95,1067.375,4.8,71124,296000,38.6,1
"1970-05-30",7.95,1067.375,4.8,71124,301000,38.6,1
"1970-06-01",7.61,1067.375,4.9,71029,301000,38.8,1
"1970-06-06",7.61,1067.375,4.9,71029,301000,38.8,1
"1970-06-13",7.61,1067.375,4.9,71029,298000,38.8,1
"1970-06-20",7.61,1067.375,4.9,71029,296000,38.8,1
"1970-06-27",7.61,1067.375,4.9,71029,291000,38.8,1
"1970-07-01",7.21,1086.059,5,71053,291000,38.9,1
"1970-07-04",7.21,1086.059,5,71053,277000,38.9,1
"1970-07-11",7.21,1086.059,5,71053,288000,38.9,1
"1970-07-18",7.21,1086.059,5,71053,294000,38.9,1
"1970-07-25",7.21,1086.059,5,71053,287000,38.9,1
"1970-08-01",6.62,1086.059,5.1,70937,261000,39,1
"1970-08-08",6.62,1086.059,5.1,70937,266000,39,1
"1970-08-15",6.62,1086.059,5.1,70937,3e+05,39,1
"1970-08-22",6.62,1086.059,5.1,70937,303000,39,1
"1970-08-29",6.62,1086.059,5.1,70937,297000,39,1
"1970-09-01",6.29,1086.059,5.4,70944,297000,39.2,1
"1970-09-05",6.29,1086.059,5.4,70944,324000,39.2,1
"1970-09-12",6.29,1086.059,5.4,70944,292000,39.2,1
"1970-09-19",6.29,1086.059,5.4,70944,325000,39.2,1
"1970-09-26",6.29,1086.059,5.4,70944,333000,39.2,1
"1970-10-01",6.2,1088.608,5.5,70521,333000,39.4,1
"1970-10-03",6.2,1088.608,5.5,70521,350000,39.4,1
"1970-10-10",6.2,1088.608,5.5,70521,327000,39.4,1
"1970-10-17",6.2,1088.608,5.5,70521,334000,39.4,1
"1970-10-24",6.2,1088.608,5.5,70521,330000,39.4,1
"1970-10-31",6.2,1088.608,5.5,70521,327000,39.4,1
"1970-11-01",5.6,1088.608,5.9,70409,327000,39.6,1
"1970-11-07",5.6,1088.608,5.9,70409,336000,39.6,1
"1970-11-14",5.6,1088.608,5.9,70409,314000,39.6,1
"1970-11-21",5.6,1088.608,5.9,70409,314000,39.6,1
"1970-11-28",5.6,1088.608,5.9,70409,337000,39.6,1
"1970-12-01",4.9,1088.608,6.1,70792,337000,39.8,0
"1970-12-05",4.9,1088.608,6.1,70792,308000,39.8,0
"1970-12-12",4.9,1088.608,6.1,70792,306000,39.8,0
"1970-12-19",4.9,1088.608,6.1,70792,289000,39.8,0
"1970-12-26",4.9,1088.608,6.1,70792,321000,39.8,0
"1971-01-01",4.14,1135.156,5.9,70865,321000,39.9,0
"1971-01-02",4.14,1135.156,5.9,70865,303000,39.9,0
"1971-01-09",4.14,1135.156,5.9,70865,288000,39.9,0
"1971-01-16",4.14,1135.156,5.9,70865,299000,39.9,0
"1971-01-23",4.14,1135.156,5.9,70865,312000,39.9,0
"1971-01-30",4.14,1135.156,5.9,70865,292000,39.9,0
"1971-02-01",3.72,1135.156,5.9,70807,292000,39.9,0
"1971-02-06",3.72,1135.156,5.9,70807,296000,39.9,0
"1971-02-13",3.72,1135.156,5.9,70807,282000,39.9,0
"1971-02-20",3.72,1135.156,5.9,70807,268000,39.9,0
"1971-02-27",3.72,1135.156,5.9,70807,290000,39.9,0
"1971-03-01",3.71,1135.156,6,70860,290000,40,0
"1971-03-06",3.71,1135.156,6,70860,297000,40,0
"1971-03-13",3.71,1135.156,6,70860,287000,40,0
"1971-03-20",3.71,1135.156,6,70860,291000,40,0
"1971-03-27",3.71,1135.156,6,70860,3e+05,40,0
"1971-04-01",4.16,1156.271,5.9,71036,3e+05,40.1,0
"1971-04-03",4.16,1156.271,5.9,71036,299000,40.1,0
"1971-04-10",4.16,1156.271,5.9,71036,279000,40.1,0
"1971-04-17",4.16,1156.271,5.9,71036,284000,40.1,0
"1971-04-24",4.16,1156.271,5.9,71036,288000,40.1,0
"1971-05-01",4.63,1156.271,5.9,71247,290000,40.3,0
"1971-05-08",4.63,1156.271,5.9,71247,293000,40.3,0
"1971-05-15",4.63,1156.271,5.9,71247,284000,40.3,0
"1971-05-22",4.63,1156.271,5.9,71247,295000,40.3,0
"1971-05-29",4.63,1156.271,5.9,71247,299000,40.3,0
"1971-06-01",4.91,1156.271,5.9,71254,299000,40.5,0
"1971-06-05",4.91,1156.271,5.9,71254,301000,40.5,0
"1971-06-12",4.91,1156.271,5.9,71254,295000,40.5,0
"1971-06-19",4.91,1156.271,5.9,71254,299000,40.5,0
"1971-06-26",4.91,1156.271,5.9,71254,291000,40.5,0
"1971-07-01",5.31,1177.675,6,71315,291000,40.6,0
"1971-07-03",5.31,1177.675,6,71315,277000,40.6,0
"1971-07-10",5.31,1177.675,6,71315,264000,40.6,0
"1971-07-17",5.31,1177.675,6,71315,313000,40.6,0
"1971-07-24",5.31,1177.675,6,71315,304000,40.6,0
"1971-07-31",5.31,1177.675,6,71315,308000,40.6,0
"1971-08-01",5.57,1177.675,6.1,71373,308000,40.7,0
"1971-08-07",5.57,1177.675,6.1,71373,349000,40.7,0
"1971-08-14",5.57,1177.675,6.1,71373,325000,40.7,0
"1971-08-21",5.57,1177.675,6.1,71373,320000,40.7,0
"1971-08-28",5.57,1177.675,6.1,71373,307000,40.7,0
"1971-09-01",5.55,1177.675,6,71614,307000,40.8,0
"1971-09-04",5.55,1177.675,6,71614,359000,40.8,0
"1971-09-11",5.55,1177.675,6,71614,312000,40.8,0
"1971-09-18",5.55,1177.675,6,71614,302000,40.8,0
"1971-09-25",5.55,1177.675,6,71614,308000,40.8,0
